,dataset,method,exp,total_hr,total_ndcg,best_epoch,head_hr,head_ndcg,mid_hr,mid_ndcg,tail_hr,tail_ndcg,balance
141,RetailRocket,AMNS,17,0.060948081264108354,0.03705826027176571,200,0.20831163420477034,0.12290713913074154,0.0483831949036368,0.034799329705553814,0.004484103851845209,0.0013498497630778047,0.49050725694167885
142,RetailRocket,AMNS,18,0.03837471783295711,0.02302353822563589,75,0.1249869805228622,0.08161261324347198,0.0322554632690912,0.016730389566430647,0.004484103851845209,0.0012961967011250073,0.46261996539864236
143,RetailRocket,AMNS,19,0.06320541760722348,0.035825639137128634,100,0.22914279762524736,0.13857343047094292,0.040319329086364,0.018267019454630853,0.004484103851845209,0.0013498497630778047,0.4216951745639056
144,RetailRocket,ANS,0,0.011286681715575621,0.006951216416367608,100,0.02083116342047703,0.013143000803488335,0.0241915974518184,0.014656312920796184,0.0,0.0,0.6485247824866219
145,RetailRocket,ANS,1,0.024830699774266364,0.015366865279798391,25,0.04166232684095406,0.020563210929683984,0.040319329086364,0.030767396796917416,0.008968207703690417,0.004563842701251062,0.6874655324505623
146,RetailRocket,ANS,2,0.011286681715575621,0.007685407151333049,25,0.0,0.0,0.0322554632690912,0.024334993636045476,0.004484103851845209,0.0017346881630175403,0.3777007895233717
147,RetailRocket,ANS,3,0.03160270880361174,0.01767503863687662,50,0.02083116342047703,0.013143000803488335,0.040319329086364,0.0322554632690912,0.03138872696291646,0.01151599752922931,0.757069868973995
148,RetailRocket,ANS,4,0.011286681715575621,0.005704633385353696,100,0.0,0.0,0.0322554632690912,0.017690664110784238,0.004484103851845209,0.001494701283948403,0.3852818846150574
149,RetailRocket,ANS,5,0.02708803611738149,0.012527287613624089,25,0.0624934902614311,0.019714501205232503,0.0241915974518184,0.018239331563123257,0.013452311555535626,0.0062550542351382625,0.7970339367240495
150,RetailRocket,ANS,6,0.033860045146726865,0.015413504707394284,25,0.0624934902614311,0.019714501205232503,0.0241915974518184,0.0241915974518184,0.026904623111071252,0.00867850466194922,0.8033264072546851
151,RetailRocket,ANS,7,0.009029345372460496,0.004514672686230248,125,0.0,0.0,0.0241915974518184,0.013439776362121333,0.004484103851845209,0.001494701283948403,0.4000680076787899
152,RetailRocket,ANS,8,0.02708803611738149,0.013616935819484411,25,0.0624934902614311,0.018812415102425657,0.040319329086364,0.031390930253321285,0.004484103851845209,0.001494701283948403,0.6144785934486374
153,RetailRocket,ANS,9,0.002257336343115124,0.001128668171557562,150,0.0,0.0,0.0080638658172728,0.0040319329086364,0.0,0.0,0.3333829336427727
154,RetailRocket,ANS,10,0.020316027088036117,0.011532770971970693,50,0.0,0.0,0.0322554632690912,0.024688382482419568,0.022420519259226043,0.009180804577992766,0.514048688555899
155,RetailRocket,ANS,11,0.02708803611738149,0.013642555212992418,25,0.0624934902614311,0.019714501205232503,0.0483831949036368,0.03347199982776605,0.0,0.0,0.5804472892062187
156,RetailRocket,ANS,12,0.004514672686230248,0.004514672686230248,50,0.0,0.0,0.0161277316345456,0.0161277316345456,0.0,0.0,0.33334573410266033
157,RetailRocket,ANS,13,0.02708803611738149,0.016604042075503877,50,0.02083116342047703,0.0065715004017441675,0.0483831949036368,0.040462725270591075,0.017936415407380835,0.007653819672080896,0.5868562164338449
158,RetailRocket,ANS,14,0.013544018058690745,0.010749118526281977,150,0.0,0.0,0.0322554632690912,0.02927933032474363,0.008968207703690417,0.005071206464156126,0.43175900867321226
159,RetailRocket,ANS,15,0.013544018058690745,0.00888112153441038,50,0.02083116342047703,0.02083116342047703,0.0241915974518184,0.01272582576111423,0.004484103851845209,0.0015972700197660293,0.6352508496258167
160,RetailRocket,ANS,16,0.029345372460496615,0.017850768457014665,25,0.052077908551192584,0.03291905449123659,0.040319329086364,0.029394984383726393,0.013452311555535626,0.004941751452078215,0.7226788641929157
161,RetailRocket,ANS,17,0.013544018058690745,0.005157519800139929,100,0.0,0.0,0.040319329086364,0.01599670410287886,0.004484103851845209,0.0013498497630778047,0.3852216958575788
162,RetailRocket,ANS,18,0.03160270880361174,0.017047803222912383,25,0.02083116342047703,0.010415581710238516,0.0483831949036368,0.03457920277673946,0.026904623111071252,0.010152055474672555,0.7047033648640877
163,RetailRocket,ANS,19,0.011286681715575621,0.009029345372460496,25,0.02083116342047703,0.010415581710238516,0.0241915974518184,0.0241915974518184,0.0,0.0,0.5339813235450044
164,RetailRocket,MNS,0,0.04288939051918736,0.031997787231553054,175,0.15623372565357774,0.11236503422917885,0.0322554632690912,0.027311126580393044,0.0,0.0,0.4636889968054012
165,RetailRocket,MNS,1,0.04288939051918736,0.028671132232624866,125,0.14581814394333922,0.09432392006693997,0.0322554632690912,0.027064004411805676,0.004484103851845209,0.0012961967011250073,0.49448771370123823
166,RetailRocket,MNS,2,0.03160270880361174,0.027381293005817396,125,0.08332465368190813,0.08332465368190813,0.0322554632690912,0.027311126580393044,0.008968207703690417,0.0033319581827835694,0.5320752695785034
167,RetailRocket,MNS,3,0.033860045146726865,0.029403768394017253,175,0.10415581710238517,0.09646765448539647,0.0322554632690912,0.02687955272424267,0.004484103851845209,0.0019311984129563387,0.4969272412651249
168,RetailRocket,MNS,4,0.033860045146726865,0.02558194736211091,200,0.09374023539214664,0.07392295828288782,0.0322554632690912,0.026522577423739115,0.008968207703690417,0.004243731807350282,0.5562803557846736
169,RetailRocket,MNS,5,0.03611738148984198,0.02678616843709315,175,0.10415581710238517,0.07803648442577069,0.0322554632690912,0.02927933032474363,0.008968207703690417,0.0033319581827835694,0.5498971091403683
170,RetailRocket,MNS,6,0.029345372460496615,0.024648073792133,125,0.09374023539214664,0.07877189358199038,0.0322554632690912,0.02706400441180568,0.0,0.0,0.5038125261793207
171,RetailRocket,MNS,7,0.03160270880361174,0.025576706700828403,100,0.11457139881262368,0.08676680625421292,0.0241915974518184,0.0241915974518184,0.0,0.0,0.4786840908302321
172,RetailRocket,MNS,8,0.04966139954853273,0.034117759636349713,125,0.14581814394333922,0.10616909666810727,0.0564470607209096,0.0365617268007693,0.004484103851845209,0.0017346881630175403,0.5180663285179488
173,RetailRocket,MNS,9,0.045146726862302484,0.036105754519282926,200,0.15623372565357774,0.11972554163152103,0.0241915974518184,0.0241915974518184,0.008968207703690417,0.006726155777767813,0.4999261404246309
174,RetailRocket,MNS,10,0.040632054176072234,0.03173854469604191,150,0.1249869805228622,0.10295029337354583,0.040319329086364,0.03134305948902945,0.004484103851845209,0.0012961967011250073,0.5001882663069426
175,RetailRocket,MNS,11,0.03611738148984198,0.026075229905914547,175,0.1249869805228622,0.08593164100256392,0.0322554632690912,0.02661906294382696,0.0,0.0,0.4910062224263886
176,RetailRocket,MNS,12,0.03160270880361174,0.027863079295231383,75,0.08332465368190813,0.08332465368190813,0.0322554632690912,0.02706400441180568,0.008968207703690417,0.00442642455799955,0.5418835159440708
177,RetailRocket,MNS,13,0.029345372460496615,0.024969765940507566,125,0.08332465368190813,0.06906499066317527,0.0241915974518184,0.0241915974518184,0.008968207703690417,0.006415302264801548,0.5809617630243658
178,RetailRocket,MNS,14,0.03837471783295711,0.02888579611006899,200,0.11457139881262368,0.08772438213567899,0.0322554632690912,0.02927933032474363,0.008968207703690417,0.0033319581827835694,0.532462191746377
179,RetailRocket,MNS,15,0.045146726862302484,0.0312220579460877,175,0.14581814394333922,0.10221423923873399,0.040319329086364,0.02985499301685566,0.004484103851845209,0.0014145772691167605,0.49657097848059906
180,RetailRocket,MNS,16,0.045146726862302484,0.03204179381037677,75,0.1354025622331007,0.09702509093890348,0.040319329086364,0.030784044555341783,0.008968207703690417,0.00476035295118986,0.5360192842846736
181,RetailRocket,MNS,17,0.03837471783295711,0.028654661999436212,125,0.11457139881262368,0.08334006041593513,0.0322554632690912,0.02927933032474363,0.008968207703690417,0.00476035295118986,0.5537020604568703
182,RetailRocket,MNS,18,0.03837471783295711,0.028030336280749628,175,0.10415581710238517,0.08190729609906132,0.0564470607209096,0.03671897003387797,0.0,0.0,0.5396911008546961
183,RetailRocket,MNS,19,0.033860045146726865,0.025037622220729337,100,0.09374023539214664,0.07207576898124513,0.0322554632690912,0.02706400441180568,0.008968207703690417,0.003656629195039365,0.5562818776372395
184,RetailRocket,PNS,0,0.006772009029345372,0.006772009029345372,200,0.0,0.0,0.0241915974518184,0.0241915974518184,0.0,0.0,0.33334160056414464
185,RetailRocket,PNS,1,0.009029345372460496,0.007524454477050414,125,0.0,0.0,0.0322554632690912,0.02687955272424267,0.0,0.0,0.3333407738502904
186,RetailRocket,PNS,2,0.009029345372460496,0.005614304606499955,200,0.0,0.0,0.0322554632690912,0.020055938558821707,0.0,0.0,0.33334330529290157
